Name,Heart,Score,Genre,Status,Episode
Denma,1M,9.12,Sci-fi,WEDNESDAY,672
STARCROSS,"8,170",7.54,Superhero,WEDNESDAY,17
The World Where I Belong,"656,524",9.59,Drama,WEDNESDAY,53
Darbi,"994,241",9.49,Action,WEDNESDAY,74
Outrage,"405,743",9.41,Superhero,WEDNESDAY,26
Backchannel,"150,145",9.7,Superhero,WEDNESDAY,12
unOrdinary,17.1M,9.83,Fantasy,THURSDAY,152
Refund High School,9.4M,9.75,Drama,THURSDAY,135
Lalin's Curse,"699,150",9.89,Drama,THURSDAY,16
Brass & Sass,"109,978",9.52,Romance,THURSDAY,6
Crumbs,"142,633",9.82,Romance,THURSDAY,8
Space Boy,3.5M,9.83,Drama,THURSDAY,215
Just Pancakes,"141,894",9.64,Comedy,THURSDAY,13
My Dictator Boyfriend,1.7M,9.03,Comedy,THURSDAY,115
Simon Sues,"91,240",9.13,Thriller,THURSDAY,11
Just for Kicks,2M,9.58,Slice of life,THURSDAY,148
Doodle for Food,2.7M,9.43,Slice of life,THURSDAY,419
UnderPrin,1.6M,9.27,Fantasy,THURSDAY,268
ㄴㅇㄹㅇㄴㄹ,"239,407",8.9,Informative,THURSDAY,25
The Gamer,6.7M,9.67,Fantasy,FRIDAY,284
Muted,"678,779",9.64,Drama,FRIDAY,21
The God of High School,8M,9.73,Action,FRIDAY,422
Hardcore Leveling Warrior,5M,9.79,Action,FRIDAY,181
No Scope,"261,760",9.85,Action,FRIDAY,12
Phantom Paradise,1.6M,9.58,Fantasy,FRIDAY,55
Hooves of Death,"406,607",9.39,Action,FRIDAY,24
#Blessed,1.5M,9.22,Drama,FRIDAY,64
House of Stars,"173,389",9.73,Fantasy,FRIDAY,11
Newman,1.4M,9.74,Fantasy,FRIDAY,188
Thornstone,"66,191",9.08,Fantasy,FRIDAY,15
Firebrand,"184,379",9.0,Fantasy,FRIDAY,35
I Don't Want This Kind of Hero,1.8M,9.75,Fantasy,FRIDAY,268
Heartwired,"112,763",9.09,Sci-fi,FRIDAY,20
Brothers Bond,"93,901",9.26,Action,FRIDAY,40
Hooky,4.1M,9.74,Fantasy,FRIDAY,199
Acursian,"18,896",7.36,Fantasy,FRIDAY,9
Four Leaf,"400,785",9.74,Fantasy,FRIDAY,31
FINALITY,"15,327",8.34,Thriller,FRIDAY,8
I Love Yoo,13.6M,9.83,Romance,FRIDAY,96
Trailer Park Warlock,"107,479",9.21,Fantasy,FRIDAY,19
Siren's Lament,11.9M,9.76,Romance,SATURDAY,158
Deor,"151,675",9.83,Fantasy,SATURDAY,5
The Kiss Bet,"299,646",9.55,Romance,SATURDAY,11
Random Chat,"89,684",9.56,Drama,SATURDAY,4
Fluffy Boyfriend,2.4M,9.27,Drama,SATURDAY,56
Uriah,"335,471",9.81,Thriller,SATURDAY,16
Shiloh,"142,028",9.63,Thriller,SATURDAY,8
Saphie: The One-Eyed Cat,6.5M,9.79,Slice of life,SATURDAY,333
Bad Signs,"151,332",9.44,Comedy,SATURDAY,10
Unlucky is as Lucky does,"565,005",9.64,Comedy,SATURDAY,37
Skate!!! Fire 100,"17,035",9.43,Fantasy,SATURDAY,3
Apocalyptic Horseplay,"690,950",9.68,Fantasy,SATURDAY,175
S.I.D.,1M,9.67,Fantasy,SATURDAY,214
GOSU,2.3M,9.86,Action,SATURDAY,162
Witch Creek Road,"424,640",9.43,Horror,SATURDAY,21
Miss Abbott and the Doctor,3.7M,9.81,Romance,SATURDAY,129
Metaphorical HER,"96,584",8.78,Drama,SATURDAY,32
Urban Animal,"474,232",9.73,Action,SATURDAY,29
Eggnoid,8.2M,9.7,Romance,SATURDAY,166
The Croaking,"540,066",9.78,Fantasy,SATURDAY,29
