Name,Heart,Score,Genre,Status,Episode
April Flowers,1100000.0,9.52,6,8,40
Trump,924294.0,9.57,6,8,255
FAMILY MAN,74294.0,9.68,7,8,42
Penguin Loves Mev,295523.0,9.33,4,8,341
Noblesse,10900000.0,9.77,6,8,545
Winter Woods,2400000.0,9.81,1,8,129
LESSA,346505.0,9.72,6,8,58
Magical 12th Graders,372720.0,9.3,6,8,143
God of Bath,150476.0,9.52,2,8,30
SIDEKICKS,467536.0,9.43,10,8,131
Ecstasy Hearts,3400000.0,9.07,1,8,101
Girls of the Wild's,4400000.0,9.59,5,8,264
For the Sake of Sita,210080.0,9.54,1,8,14
Smile Brush,297114.0,9.56,4,8,36
Subtle Disaster,108890.0,9.36,7,8,45
The Stories of Those around Me,510381.0,9.65,1,8,60
Noblesse: Rai's Adventure,164290.0,9.84,6,8,10
ORANGE MARMALADE,3200000.0,9.69,1,8,120
Epic V,13616.0,5.66,2,8,27
Cluster Fudge,191849.0,8.48,4,8,228
Athena Complex,1500000.0,9.59,6,8,105
Flow,1600000.0,9.77,6,8,104
Jackie Rose,167571.0,9.59,5,8,58
Lars,250870.0,8.49,4,8,234
Nightmare Factory,2100000.0,9.49,6,8,77
Witch Hunt,591841.0,9.53,7,8,88
DEEP,108183.0,9.15,3,8,45
Midnight Rhapsody : Season 2,74353.0,8.87,4,8,81
Cooking Comically,220136.0,9.61,4,8,108
Guardians of the Video Game,182348.0,9.01,6,8,176
Aura from Another Planet,188201.0,9.23,2,8,100
Duty after School,182402.0,9.67,7,8,50
Dr. Frost,1100000.0,9.77,7,8,122
Midnight Rhapsody,85556.0,9.15,4,8,38
Supersonic Girl,488522.0,9.13,10,8,69
3-Second Strip,583837.0,8.5,2,8,503
Helios:Femina,244244.0,8.7,6,8,35
RANDOMPHILIA,947288.0,9.41,2,8,314
Snailogy,1600000.0,9.41,4,8,123
The Red Hook,34660.0,8.26,10,8,27
Friday: Forbidden Tales,248258.0,9.08,3,8,97
BOO! It's Sex,3100000.0,8.85,4,8,97
The Life of the Three Bears,36938.0,8.9,4,8,51
2015: Space Series,42957.0,9.26,8,8,14
The DaneMen,367411.0,9.06,2,8,271
Catharsis,2100000.0,9.57,6,8,183
Roar Street Journal,859151.0,9.64,4,8,309
ShootAround,993554.0,9.66,7,8,143
Average Adventures of an Average Girl,526911.0,9.27,4,8,170
Just Ask Yuli,21067.0,7.56,4,8,25
All That You Are,61809.0,9.22,7,8,63
Kind of Confidential,2100000.0,9.29,1,8,67
Dragnarok: Descendants,279514.0,9.31,6,8,30
Super Secret,8600000.0,9.83,1,8,143
Illusions of Adulting,127759.0,5.92,7,8,48
Dents,726079.0,9.48,8,8,79
My Boo,2100000.0,9.77,7,8,47
Nicholalala,168910.0,9.0,4,8,155
Inarime,86929.0,8.82,6,8,71
Polidiocy,64789.0,7.28,2,8,96
Where Tangents Meet,1700000.0,9.75,1,8,44
Davinchibi,65382.0,8.85,7,8,8
MercWorks,379117.0,9.12,2,8,150
Aphrodite IX,119024.0,8.74,8,8,33
Tickle Town,94340.0,6.61,2,8,180
The Strange Tales of Oscar Zahn,782415.0,9.76,6,8,105
Have You Any Fear?,119262.0,8.54,12,8,10
Shadow Pirates,41517.0,9.27,6,8,17
Under the Aegis,382253.0,9.74,6,8,93
Eat Fighter,54130.0,5.56,2,8,26
1111 Animals,204132.0,8.89,2,8,110
Caster,61486.0,9.02,5,8,30
My Kitty and Old Dog,712942.0,9.64,4,8,213
Hellper,413079.0,9.73,5,8,189
Nano List,2300000.0,9.82,8,8,147
The Badguys,211949.0,9.44,10,8,73
Shard,700841.0,9.3,7,8,80
CARL,3000000.0,9.76,2,8,150
1000,64819.0,9.09,5,8,20
Alice Elise,115564.0,9.02,6,8,24
Ghosts Among the Wild Flowers,338017.0,9.56,6,8,87
Cyberbunk,95110.0,8.56,8,8,194
The Red Book,167197.0,8.79,3,8,26
The Purple Heart,34197.0,9.09,10,8,26
UndeadEd,637175.0,9.68,2,8,120
The Gentleman’s Armchair,245758.0,8.9,2,8,142
All That We Hope to Be,126165.0,9.46,4,8,176
MOONBEARD,353365.0,9.26,2,8,147
How to Love,492709.0,9.49,4,8,100
Trash Bird,923013.0,9.53,2,8,174
Power Ballad,79887.0,9.08,7,8,26
Library Ghost,195815.0,8.77,4,8,75
